Episode,Turn,User Query,Bot Response,Expected Response,Reward,Done
13,3,how to cancel order,"Sorry, I didn’t quite get that. Could you please rephrase?","Sure, I can help you cancel your order.",-1,True
14,1,how to cancel order,"Sorry, I didn’t quite get that. Could you please rephrase?","Sure, I can help you cancel your order.",-1,False
14,2,hi,"Yes, we offer a 30-day refund policy for eligible returns.",Hello! How can I help you today?,-1,False
14,3,hey,"I'm just a bot, but I’m here to help you!",Hello! How can I help you today?,-1,True
15,1,forgot my password,You can reset your password using the link we sent to your email.,You can reset your password using the link we sent to your email.,1,False
15,2,hi,"Sure, I can help you cancel your order.",Hello! How can I help you today?,-1,False
15,3,hey,You're welcome! Have a great day!,Hello! How can I help you today?,-1,True
16,1,hi,You can reset your password using the link we sent to your email.,Hello! How can I help you today?,-1,False
16,2,good morning,"Sure, I can help you cancel your order.",Hello! How can I help you today?,-1,False
16,3,forgot my password,"Sorry, I didn’t quite get that. Could you please rephrase?",You can reset your password using the link we sent to your email.,-1,True
17,1,where is my order?,You're welcome! Have a great day!,I'm sorry to hear that. Let me check the tracking info for you.,-1,False
17,2,sup bot,I'm sorry to hear that. Let me check the tracking info for you.,"I'm just a bot, but I’m here to help you!",-1,False
17,3,what's your refund policy?,I'm sorry to hear that. Let me check the tracking info for you.,"Yes, we offer a 30-day refund policy for eligible returns.",-1,True
18,1,how to reset password?,"Our business hours are 9 AM to 5 PM, Monday to Friday.",You can reset your password using the link we sent to your email.,-1,False
18,2,hello,"Sorry, I didn’t quite get that. Could you please rephrase?",Hello! How can I help you today?,-1,False
18,3,order not arrived,"Our business hours are 9 AM to 5 PM, Monday to Friday.",I'm sorry to hear that. Let me check the tracking info for you.,-1,True
19,1,how to reset password?,You can reset your password using the link we sent to your email.,You can reset your password using the link we sent to your email.,1,False
19,2,forgot my password,"Sorry, I didn’t quite get that. Could you please rephrase?",You can reset your password using the link we sent to your email.,-1,False
19,3,bye,I'm sorry to hear that. Let me check the tracking info for you.,You're welcome! Have a great day!,-1,True
20,1,sup bot,"I'm just a bot, but I’m here to help you!","I'm just a bot, but I’m here to help you!",1,False
20,2,when are you open?,"I'm just a bot, but I’m here to help you!","Our business hours are 9 AM to 5 PM, Monday to Friday.",-1,False
20,3,hi,"Our business hours are 9 AM to 5 PM, Monday to Friday.",Hello! How can I help you today?,-1,True
21,1,when are you open?,"Yes, we offer a 30-day refund policy for eligible returns.","Our business hours are 9 AM to 5 PM, Monday to Friday.",-1,False
21,2,can I get a refund?,I'm sorry to hear that. Let me check the tracking info for you.,"Yes, we offer a 30-day refund policy for eligible returns.",-1,False
21,3,business hours?,I'm sorry to hear that. Let me check the tracking info for you.,"Our business hours are 9 AM to 5 PM, Monday to Friday.",-1,True
22,1,what's up?,You're welcome! Have a great day!,"I'm just a bot, but I’m here to help you!",-1,False
22,2,sup bot,"Yes, we offer a 30-day refund policy for eligible returns.","I'm just a bot, but I’m here to help you!",-1,False
22,3,business hours?,"Our business hours are 9 AM to 5 PM, Monday to Friday.","Our business hours are 9 AM to 5 PM, Monday to Friday.",1,True
23,1,sup bot,"I'm just a bot, but I’m here to help you!","I'm just a bot, but I’m here to help you!",1,False
23,2,return an item,Hello! How can I help you today?,"Yes, we offer a 30-day refund policy for eligible returns.",-1,False
23,3,cancel my order,"I'm just a bot, but I’m here to help you!","Sure, I can help you cancel your order.",-1,True
24,1,what's 2+2,I'm sorry to hear that. Let me check the tracking info for you.,"Sorry, I didn’t quite get that. Could you please rephrase?",-1,False
24,2,good morning,You can reset your password using the link we sent to your email.,Hello! How can I help you today?,-1,False
24,3,hey,"I'm just a bot, but I’m here to help you!",Hello! How can I help you today?,-1,True
25,1,play music,"Our business hours are 9 AM to 5 PM, Monday to Friday.","Sorry, I didn’t quite get that. Could you please rephrase?",-1,False
25,2,return an item,"Sorry, I didn’t quite get that. Could you please rephrase?","Yes, we offer a 30-day refund policy for eligible returns.",-1,False
25,3,see you,"Sure, I can help you cancel your order.",You're welcome! Have a great day!,-1,True
26,1,when are you open?,You can reset your password using the link we sent to your email.,"Our business hours are 9 AM to 5 PM, Monday to Friday.",-1,False
26,2,can I get a refund?,You can reset your password using the link we sent to your email.,"Yes, we offer a 30-day refund policy for eligible returns.",-1,False
26,3,return an item,"I'm just a bot, but I’m here to help you!","Yes, we offer a 30-day refund policy for eligible returns.",-1,True
27,1,where is my order?,You can reset your password using the link we sent to your email.,I'm sorry to hear that. Let me check the tracking info for you.,-1,False
27,2,thanks,You're welcome! Have a great day!,You're welcome! Have a great day!,1,True
28,1,hello,Hello! How can I help you today?,Hello! How can I help you today?,1,False
28,2,what's your refund policy?,"Sorry, I didn’t quite get that. Could you please rephrase?","Yes, we offer a 30-day refund policy for eligible returns.",-1,False
28,3,can I get a refund?,"I'm just a bot, but I’m here to help you!","Yes, we offer a 30-day refund policy for eligible returns.",-1,True
29,1,hello,Hello! How can I help you today?,Hello! How can I help you today?,1,False
29,2,business hours?,"Sure, I can help you cancel your order.","Our business hours are 9 AM to 5 PM, Monday to Friday.",-1,False
29,3,hey,"I'm just a bot, but I’m here to help you!",Hello! How can I help you today?,-1,True
30,1,what's 2+2,You're welcome! Have a great day!,"Sorry, I didn’t quite get that. Could you please rephrase?",-1,False
30,2,hey,"Sure, I can help you cancel your order.",Hello! How can I help you today?,-1,False
30,3,hello,"I'm just a bot, but I’m here to help you!",Hello! How can I help you today?,-1,True
31,1,forgot my password,I'm sorry to hear that. Let me check the tracking info for you.,You can reset your password using the link we sent to your email.,-1,False
31,2,how are you?,Hello! How can I help you today?,"I'm just a bot, but I’m here to help you!",-1,False
31,3,order is delayed,"Sure, I can help you cancel your order.",I'm sorry to hear that. Let me check the tracking info for you.,-1,True
32,1,see you,Hello! How can I help you today?,You're welcome! Have a great day!,-1,False
32,2,how to reset password?,You can reset your password using the link we sent to your email.,You can reset your password using the link we sent to your email.,1,False
32,3,how are you?,"Our business hours are 9 AM to 5 PM, Monday to Friday.","I'm just a bot, but I’m here to help you!",-1,True
33,1,what's 2+2,"Our business hours are 9 AM to 5 PM, Monday to Friday.","Sorry, I didn’t quite get that. Could you please rephrase?",-1,False
33,2,order not arrived,"Our business hours are 9 AM to 5 PM, Monday to Friday.",I'm sorry to hear that. Let me check the tracking info for you.,-1,False
33,3,how to cancel order,You can reset your password using the link we sent to your email.,"Sure, I can help you cancel your order.",-1,True
34,1,order is delayed,"I'm just a bot, but I’m here to help you!",I'm sorry to hear that. Let me check the tracking info for you.,-1,False
34,2,bye,"Yes, we offer a 30-day refund policy for eligible returns.",You're welcome! Have a great day!,-1,False
34,3,what's up?,"I'm just a bot, but I’m here to help you!","I'm just a bot, but I’m here to help you!",1,True
35,1,yo!,Hello! How can I help you today?,"I'm just a bot, but I’m here to help you!",-1,False
35,2,hello,"Sorry, I didn’t quite get that. Could you please rephrase?",Hello! How can I help you today?,-1,False
35,3,business hours?,You can reset your password using the link we sent to your email.,"Our business hours are 9 AM to 5 PM, Monday to Friday.",-1,True
36,1,can I get a refund?,"Sorry, I didn’t quite get that. Could you please rephrase?","Yes, we offer a 30-day refund policy for eligible returns.",-1,False
36,2,how to reset password?,"I'm just a bot, but I’m here to help you!",You can reset your password using the link we sent to your email.,-1,False
36,3,return an item,You can reset your password using the link we sent to your email.,"Yes, we offer a 30-day refund policy for eligible returns.",-1,True
37,1,where is my order?,"Sure, I can help you cancel your order.",I'm sorry to hear that. Let me check the tracking info for you.,-1,False
37,2,cancel my order,"Our business hours are 9 AM to 5 PM, Monday to Friday.","Sure, I can help you cancel your order.",-1,False
37,3,order not arrived,You're welcome! Have a great day!,I'm sorry to hear that. Let me check the tracking info for you.,-1,True
38,1,cancel my order,"I'm just a bot, but I’m here to help you!","Sure, I can help you cancel your order.",-1,False
38,2,see you,Hello! How can I help you today?,You're welcome! Have a great day!,-1,False
38,3,how to cancel order,I'm sorry to hear that. Let me check the tracking info for you.,"Sure, I can help you cancel your order.",-1,True
39,1,order not arrived,I'm sorry to hear that. Let me check the tracking info for you.,I'm sorry to hear that. Let me check the tracking info for you.,1,False
39,2,business hours?,"Our business hours are 9 AM to 5 PM, Monday to Friday.","Our business hours are 9 AM to 5 PM, Monday to Friday.",1,False
39,3,order is delayed,I'm sorry to hear that. Let me check the tracking info for you.,I'm sorry to hear that. Let me check the tracking info for you.,1,True
40,1,hi,Hello! How can I help you today?,Hello! How can I help you today?,1,False
40,2,when are you open?,"I'm just a bot, but I’m here to help you!","Our business hours are 9 AM to 5 PM, Monday to Friday.",-1,False
40,3,see you,I'm sorry to hear that. Let me check the tracking info for you.,You're welcome! Have a great day!,-1,True
41,1,hi,Hello! How can I help you today?,Hello! How can I help you today?,1,False
41,2,thanks,You're welcome! Have a great day!,You're welcome! Have a great day!,1,True
42,1,cancel my order,"I'm just a bot, but I’m here to help you!","Sure, I can help you cancel your order.",-1,False
42,2,hey,"Our business hours are 9 AM to 5 PM, Monday to Friday.",Hello! How can I help you today?,-1,False
42,3,forgot my password,You can reset your password using the link we sent to your email.,You can reset your password using the link we sent to your email.,1,True
43,1,yo!,"Yes, we offer a 30-day refund policy for eligible returns.","I'm just a bot, but I’m here to help you!",-1,False
43,2,how to reset password?,You can reset your password using the link we sent to your email.,You can reset your password using the link we sent to your email.,1,False
43,3,where is my order?,"Our business hours are 9 AM to 5 PM, Monday to Friday.",I'm sorry to hear that. Let me check the tracking info for you.,-1,True
44,1,where is my order?,"I'm just a bot, but I’m here to help you!",I'm sorry to hear that. Let me check the tracking info for you.,-1,False
44,2,what's 2+2,Hello! How can I help you today?,"Sorry, I didn’t quite get that. Could you please rephrase?",-1,False
44,3,play music,"Sorry, I didn’t quite get that. Could you please rephrase?","Sorry, I didn’t quite get that. Could you please rephrase?",1,True
45,1,yo!,I'm sorry to hear that. Let me check the tracking info for you.,"I'm just a bot, but I’m here to help you!",-1,False
45,2,how are you?,You can reset your password using the link we sent to your email.,"I'm just a bot, but I’m here to help you!",-1,False
45,3,business hours?,You can reset your password using the link we sent to your email.,"Our business hours are 9 AM to 5 PM, Monday to Friday.",-1,True
46,1,can I get a refund?,"Sorry, I didn’t quite get that. Could you please rephrase?","Yes, we offer a 30-day refund policy for eligible returns.",-1,False
46,2,hi darling,Hello! How can I help you today?,"I'm just a bot, but I’m here to help you!",-1,False
46,3,how to reset password?,You can reset your password using the link we sent to your email.,You can reset your password using the link we sent to your email.,1,True
47,1,order is delayed,"I'm just a bot, but I’m here to help you!",I'm sorry to hear that. Let me check the tracking info for you.,-1,False
47,2,see you,"Sure, I can help you cancel your order.",You're welcome! Have a great day!,-1,False
47,3,hi,Hello! How can I help you today?,Hello! How can I help you today?,1,True
48,1,play music,You can reset your password using the link we sent to your email.,"Sorry, I didn’t quite get that. Could you please rephrase?",-1,False
48,2,stop my purchase,You can reset your password using the link we sent to your email.,"Sure, I can help you cancel your order.",-1,False
48,3,what's 2+2,"Yes, we offer a 30-day refund policy for eligible returns.","Sorry, I didn’t quite get that. Could you please rephrase?",-1,True
49,1,thanks,"I'm just a bot, but I’m here to help you!",You're welcome! Have a great day!,-1,True
50,1,hi,Hello! How can I help you today?,Hello! How can I help you today?,1,False
50,2,yo!,"I'm just a bot, but I’m here to help you!","I'm just a bot, but I’m here to help you!",1,False
50,3,see you,"Sure, I can help you cancel your order.",You're welcome! Have a great day!,-1,True
51,1,what's your refund policy?,"Our business hours are 9 AM to 5 PM, Monday to Friday.","Yes, we offer a 30-day refund policy for eligible returns.",-1,False
51,2,see you,You can reset your password using the link we sent to your email.,You're welcome! Have a great day!,-1,False
51,3,how to reset password?,You can reset your password using the link we sent to your email.,You can reset your password using the link we sent to your email.,1,True
52,1,return an item,You're welcome! Have a great day!,"Yes, we offer a 30-day refund policy for eligible returns.",-1,False
52,2,hey,You're welcome! Have a great day!,Hello! How can I help you today?,-1,False
52,3,what's 2+2,Hello! How can I help you today?,"Sorry, I didn’t quite get that. Could you please rephrase?",-1,True
53,1,see you,"I'm just a bot, but I’m here to help you!",You're welcome! Have a great day!,-1,False
53,2,how to reset password?,You can reset your password using the link we sent to your email.,You can reset your password using the link we sent to your email.,1,False
53,3,what's up?,You can reset your password using the link we sent to your email.,"I'm just a bot, but I’m here to help you!",-1,True
54,1,thanks,"Sure, I can help you cancel your order.",You're welcome! Have a great day!,-1,True
55,1,bye,Hello! How can I help you today?,You're welcome! Have a great day!,-1,False
55,2,what's your refund policy?,"Sure, I can help you cancel your order.","Yes, we offer a 30-day refund policy for eligible returns.",-1,False
55,3,hi darling,You can reset your password using the link we sent to your email.,"I'm just a bot, but I’m here to help you!",-1,True
56,1,what's your refund policy?,"Sorry, I didn’t quite get that. Could you please rephrase?","Yes, we offer a 30-day refund policy for eligible returns.",-1,False
56,2,how to cancel order,"Our business hours are 9 AM to 5 PM, Monday to Friday.","Sure, I can help you cancel your order.",-1,False
56,3,where is my order?,I'm sorry to hear that. Let me check the tracking info for you.,I'm sorry to hear that. Let me check the tracking info for you.,1,True
57,1,do you love me?,"I'm just a bot, but I’m here to help you!","Sorry, I didn’t quite get that. Could you please rephrase?",-1,False
57,2,what's your refund policy?,"Yes, we offer a 30-day refund policy for eligible returns.","Yes, we offer a 30-day refund policy for eligible returns.",1,False
57,3,yo!,"Yes, we offer a 30-day refund policy for eligible returns.","I'm just a bot, but I’m here to help you!",-1,True
58,1,hey,"Our business hours are 9 AM to 5 PM, Monday to Friday.",Hello! How can I help you today?,-1,False
58,2,forgot my password,You can reset your password using the link we sent to your email.,You can reset your password using the link we sent to your email.,1,False
58,3,stop my purchase,"Yes, we offer a 30-day refund policy for eligible returns.","Sure, I can help you cancel your order.",-1,True
59,1,hi darling,Hello! How can I help you today?,"I'm just a bot, but I’m here to help you!",-1,False
59,2,hi,"I'm just a bot, but I’m here to help you!",Hello! How can I help you today?,-1,False
59,3,what's up?,Hello! How can I help you today?,"I'm just a bot, but I’m here to help you!",-1,True
60,1,hi darling,"Yes, we offer a 30-day refund policy for eligible returns.","I'm just a bot, but I’m here to help you!",-1,False
60,2,yo!,"Our business hours are 9 AM to 5 PM, Monday to Friday.","I'm just a bot, but I’m here to help you!",-1,False
60,3,bye,You can reset your password using the link we sent to your email.,You're welcome! Have a great day!,-1,True
61,1,hey,"I'm just a bot, but I’m here to help you!",Hello! How can I help you today?,-1,False
61,2,forgot my password,Hello! How can I help you today?,You can reset your password using the link we sent to your email.,-1,False
61,3,what's up?,Hello! How can I help you today?,"I'm just a bot, but I’m here to help you!",-1,True
62,1,what's 2+2,I'm sorry to hear that. Let me check the tracking info for you.,"Sorry, I didn’t quite get that. Could you please rephrase?",-1,False
62,2,good morning,Hello! How can I help you today?,Hello! How can I help you today?,1,False
62,3,how are you?,"I'm just a bot, but I’m here to help you!","I'm just a bot, but I’m here to help you!",1,True
63,1,hello,Hello! How can I help you today?,Hello! How can I help you today?,1,False
63,2,what's your refund policy?,"Sure, I can help you cancel your order.","Yes, we offer a 30-day refund policy for eligible returns.",-1,False
63,3,stop my purchase,"Sorry, I didn’t quite get that. Could you please rephrase?","Sure, I can help you cancel your order.",-1,True
64,1,do you love me?,"Sure, I can help you cancel your order.","Sorry, I didn’t quite get that. Could you please rephrase?",-1,False
64,2,yo!,"I'm just a bot, but I’m here to help you!","I'm just a bot, but I’m here to help you!",1,False
64,3,do you love me?,"Yes, we offer a 30-day refund policy for eligible returns.","Sorry, I didn’t quite get that. Could you please rephrase?",-1,True
65,1,thanks,You can reset your password using the link we sent to your email.,You're welcome! Have a great day!,-1,True
66,1,business hours?,"Our business hours are 9 AM to 5 PM, Monday to Friday.","Our business hours are 9 AM to 5 PM, Monday to Friday.",1,False
66,2,play music,"I'm just a bot, but I’m here to help you!","Sorry, I didn’t quite get that. Could you please rephrase?",-1,False
66,3,how to cancel order,Hello! How can I help you today?,"Sure, I can help you cancel your order.",-1,True
67,1,bye,You can reset your password using the link we sent to your email.,You're welcome! Have a great day!,-1,False
67,2,how to reset password?,You can reset your password using the link we sent to your email.,You can reset your password using the link we sent to your email.,1,False
67,3,what's up?,"Sure, I can help you cancel your order.","I'm just a bot, but I’m here to help you!",-1,True
68,1,how are you?,You can reset your password using the link we sent to your email.,"I'm just a bot, but I’m here to help you!",-1,False
68,2,hey,"Sorry, I didn’t quite get that. Could you please rephrase?",Hello! How can I help you today?,-1,False
68,3,business hours?,"Sure, I can help you cancel your order.","Our business hours are 9 AM to 5 PM, Monday to Friday.",-1,True
69,1,hello,Hello! How can I help you today?,Hello! How can I help you today?,1,False
69,2,order not arrived,I'm sorry to hear that. Let me check the tracking info for you.,I'm sorry to hear that. Let me check the tracking info for you.,1,False
69,3,bye,"Our business hours are 9 AM to 5 PM, Monday to Friday.",You're welcome! Have a great day!,-1,True
70,1,yo!,"I'm just a bot, but I’m here to help you!","I'm just a bot, but I’m here to help you!",1,False
70,2,how to cancel order,"Yes, we offer a 30-day refund policy for eligible returns.","Sure, I can help you cancel your order.",-1,False
70,3,what's your refund policy?,"Sure, I can help you cancel your order.","Yes, we offer a 30-day refund policy for eligible returns.",-1,True
71,1,hi darling,Hello! How can I help you today?,"I'm just a bot, but I’m here to help you!",-1,False
71,2,when are you open?,"Our business hours are 9 AM to 5 PM, Monday to Friday.","Our business hours are 9 AM to 5 PM, Monday to Friday.",1,False
71,3,how are you?,I'm sorry to hear that. Let me check the tracking info for you.,"I'm just a bot, but I’m here to help you!",-1,True
72,1,hi darling,Hello! How can I help you today?,"I'm just a bot, but I’m here to help you!",-1,False
72,2,when are you open?,Hello! How can I help you today?,"Our business hours are 9 AM to 5 PM, Monday to Friday.",-1,False
72,3,forgot my password,You can reset your password using the link we sent to your email.,You can reset your password using the link we sent to your email.,1,True
73,1,thanks,You're welcome! Have a great day!,You're welcome! Have a great day!,1,True
74,1,what's your refund policy?,"Yes, we offer a 30-day refund policy for eligible returns.","Yes, we offer a 30-day refund policy for eligible returns.",1,False
74,2,thanks,You're welcome! Have a great day!,You're welcome! Have a great day!,1,True
75,1,where is my order?,You're welcome! Have a great day!,I'm sorry to hear that. Let me check the tracking info for you.,-1,False
75,2,what's 2+2,"I'm just a bot, but I’m here to help you!","Sorry, I didn’t quite get that. Could you please rephrase?",-1,False
75,3,sup bot,"Yes, we offer a 30-day refund policy for eligible returns.","I'm just a bot, but I’m here to help you!",-1,True
76,1,hi darling,I'm sorry to hear that. Let me check the tracking info for you.,"I'm just a bot, but I’m here to help you!",-1,False
76,2,order not arrived,I'm sorry to hear that. Let me check the tracking info for you.,I'm sorry to hear that. Let me check the tracking info for you.,1,False
76,3,sup bot,"I'm just a bot, but I’m here to help you!","I'm just a bot, but I’m here to help you!",1,True
77,1,thank you,You're welcome! Have a great day!,You're welcome! Have a great day!,1,False
77,2,cancel my order,"Our business hours are 9 AM to 5 PM, Monday to Friday.","Sure, I can help you cancel your order.",-1,False
77,3,business hours?,"Our business hours are 9 AM to 5 PM, Monday to Friday.","Our business hours are 9 AM to 5 PM, Monday to Friday.",1,True
78,1,do you love me?,"Our business hours are 9 AM to 5 PM, Monday to Friday.","Sorry, I didn’t quite get that. Could you please rephrase?",-1,False
78,2,what's up?,Hello! How can I help you today?,"I'm just a bot, but I’m here to help you!",-1,False
78,3,hi,Hello! How can I help you today?,Hello! How can I help you today?,1,True
79,1,thanks,You're welcome! Have a great day!,You're welcome! Have a great day!,1,True
80,1,good morning,Hello! How can I help you today?,Hello! How can I help you today?,1,False
80,2,how are you?,"I'm just a bot, but I’m here to help you!","I'm just a bot, but I’m here to help you!",1,False
80,3,hi,Hello! How can I help you today?,Hello! How can I help you today?,1,True
81,1,thanks,You're welcome! Have a great day!,You're welcome! Have a great day!,1,True
82,1,can I get a refund?,"Sorry, I didn’t quite get that. Could you please rephrase?","Yes, we offer a 30-day refund policy for eligible returns.",-1,False
82,2,how to cancel order,You can reset your password using the link we sent to your email.,"Sure, I can help you cancel your order.",-1,False
82,3,how to reset password?,"Our business hours are 9 AM to 5 PM, Monday to Friday.",You can reset your password using the link we sent to your email.,-1,True
83,1,can I get a refund?,"Yes, we offer a 30-day refund policy for eligible returns.","Yes, we offer a 30-day refund policy for eligible returns.",1,False
83,2,what's up?,Hello! How can I help you today?,"I'm just a bot, but I’m here to help you!",-1,False
83,3,order is delayed,"Our business hours are 9 AM to 5 PM, Monday to Friday.",I'm sorry to hear that. Let me check the tracking info for you.,-1,True
84,1,order not arrived,I'm sorry to hear that. Let me check the tracking info for you.,I'm sorry to hear that. Let me check the tracking info for you.,1,False
84,2,sup bot,"I'm just a bot, but I’m here to help you!","I'm just a bot, but I’m here to help you!",1,False
84,3,bye,Hello! How can I help you today?,You're welcome! Have a great day!,-1,True
85,1,what's up?,"I'm just a bot, but I’m here to help you!","I'm just a bot, but I’m here to help you!",1,False
85,2,thanks,You're welcome! Have a great day!,You're welcome! Have a great day!,1,True
86,1,hi,Hello! How can I help you today?,Hello! How can I help you today?,1,False
86,2,forgot my password,You can reset your password using the link we sent to your email.,You can reset your password using the link we sent to your email.,1,False
86,3,what's up?,"I'm just a bot, but I’m here to help you!","I'm just a bot, but I’m here to help you!",1,True
87,1,how are you?,"I'm just a bot, but I’m here to help you!","I'm just a bot, but I’m here to help you!",1,False
87,2,hello,"Our business hours are 9 AM to 5 PM, Monday to Friday.",Hello! How can I help you today?,-1,False
87,3,where is my order?,"I'm just a bot, but I’m here to help you!",I'm sorry to hear that. Let me check the tracking info for you.,-1,True
88,1,hello,You're welcome! Have a great day!,Hello! How can I help you today?,-1,False
88,2,order not arrived,"I'm just a bot, but I’m here to help you!",I'm sorry to hear that. Let me check the tracking info for you.,-1,False
88,3,stop my purchase,"Our business hours are 9 AM to 5 PM, Monday to Friday.","Sure, I can help you cancel your order.",-1,True
89,1,what's 2+2,You're welcome! Have a great day!,"Sorry, I didn’t quite get that. Could you please rephrase?",-1,False
89,2,business hours?,I'm sorry to hear that. Let me check the tracking info for you.,"Our business hours are 9 AM to 5 PM, Monday to Friday.",-1,False
89,3,what's up?,"I'm just a bot, but I’m here to help you!","I'm just a bot, but I’m here to help you!",1,True
90,1,bye,You can reset your password using the link we sent to your email.,You're welcome! Have a great day!,-1,False
90,2,cancel my order,You're welcome! Have a great day!,"Sure, I can help you cancel your order.",-1,False
90,3,hi darling,Hello! How can I help you today?,"I'm just a bot, but I’m here to help you!",-1,True
91,1,hi darling,"Sorry, I didn’t quite get that. Could you please rephrase?","I'm just a bot, but I’m here to help you!",-1,False
91,2,play music,You can reset your password using the link we sent to your email.,"Sorry, I didn’t quite get that. Could you please rephrase?",-1,False
91,3,how to cancel order,"Sure, I can help you cancel your order.","Sure, I can help you cancel your order.",1,True
92,1,how to cancel order,"Our business hours are 9 AM to 5 PM, Monday to Friday.","Sure, I can help you cancel your order.",-1,False
92,2,order not arrived,I'm sorry to hear that. Let me check the tracking info for you.,I'm sorry to hear that. Let me check the tracking info for you.,1,False
92,3,can I get a refund?,"Yes, we offer a 30-day refund policy for eligible returns.","Yes, we offer a 30-day refund policy for eligible returns.",1,True
93,1,how to cancel order,You can reset your password using the link we sent to your email.,"Sure, I can help you cancel your order.",-1,False
93,2,play music,"Sorry, I didn’t quite get that. Could you please rephrase?","Sorry, I didn’t quite get that. Could you please rephrase?",1,False
93,3,forgot my password,You can reset your password using the link we sent to your email.,You can reset your password using the link we sent to your email.,1,True
94,1,how to cancel order,"Our business hours are 9 AM to 5 PM, Monday to Friday.","Sure, I can help you cancel your order.",-1,False
94,2,thank you,Hello! How can I help you today?,You're welcome! Have a great day!,-1,False
94,3,bye,"Yes, we offer a 30-day refund policy for eligible returns.",You're welcome! Have a great day!,-1,True
